N,t
16,1.302e-06
32,1.493e-06
64,3.026e-06
128,6.542e-06
256,1.5799e-05
512,3.1488e-05
1024,7.1414e-05
2048,0.000152856
4096,0.0003324
8192,0.00072306
16384,0.00152555
32768,0.0032559
65536,0.0069888
131072,0.014805
262144,0.0311061
524288,0.0656556
1048576,0.137642
2097152,0.28942
4194304,0.605885
8388608,1.33716
16777216,2.7079
33554432,5.50069
67108864,12.6436
