N,t
16,8.9427e-05
32,9.999e-06
64,1.4397e-05
128,1.7202e-05
256,4.0225e-05
512,4.7028e-05
1024,7.2935e-05
2048,0.000180616
4096,0.000333
8192,0.000527283
16384,0.00134897
32768,0.00265527
65536,0.00577404
131072,0.0124414
262144,0.0242216
524288,0.0194621
1048576,0.0415915
2097152,0.08738
4194304,0.18258
8388608,0.381977
16777216,0.792659
33554432,1.74917
67108864,3.9947
