N,t
16,0.00289997
32,2.8613e-05
64,2.4576e-05
128,3.7951e-05
256,3.9163e-05
512,7.6302e-05
1024,7.0281e-05
2048,0.000219519
4096,0.000234577
8192,0.000446563
16384,0.000864802
32768,0.00170469
65536,0.0034825
131072,0.00729024
262144,0.0150724
524288,0.0217917
1048576,0.0251656
2097152,0.0548486
4194304,0.119088
8388608,0.256786
16777216,0.526954
33554432,1.09825
67108864,2.4
